"helper","receiver","helper.sex","helper.type","receiver.sex","kinship","help.rate","dyad","reciprocal.dyad","udyad","reciprocal.help.rate"
"B-40918","BB-4202","F","Immigrant Female","F",-0.0338,0.0283333333333333,"B-40918-->BB-4202","BB-4202-->B-40918","B-40918_BB-4202",NA
"B-40918","BB-4205","F","Immigrant Female","F",0.0054,0,"B-40918-->BB-4205","BB-4205-->B-40918","B-40918_BB-4205",0.0166666666666667
"B-40918","BB-4258","F","Immigrant Female","F",-0.1678,0,"B-40918-->BB-4258","BB-4258-->B-40918","B-40918_BB-4258",NA
"B-40937","B-40938","M","Other Male","F",0,0.116666666666667,"B-40937-->B-40938","B-40938-->B-40937","B-40937_B-40938",0.0618055555555556
"B-40937","B-41232","M","Other Male","F",0,0,"B-40937-->B-41232","B-41232-->B-40937","B-40937_B-41232",0
"B-40937","B-41301","M","Other Male","F",0,0.0111111111111111,"B-40937-->B-41301","B-41301-->B-40937","B-40937_B-41301",0.00138888888888889
"B-40937","B-41350","M","Other Male","F",0,0.00535714285714286,"B-40937-->B-41350","B-41350-->B-40937","B-40937_B-41350",0.00277777777777778
"B-40937","BB-4202","M","Other Male","F",0,0,"B-40937-->BB-4202","BB-4202-->B-40937","B-40937_BB-4202",0
"B-40937","BB-6694","M","Other Male","F",0,0,"B-40937-->BB-6694","BB-6694-->B-40937","B-40937_BB-6694",NA
"B-40938","B-40917","F","Immigrant Female","F",-0.1738,0,"B-40938-->B-40917","B-40917-->B-40938","B-40917_B-40938",0.0683333333333333
"B-40938","B-41232","F","Immigrant Female","F",0.0209,0,"B-40938-->B-41232","B-41232-->B-40938","B-40938_B-41232",NA
"B-40938","B-41301","F","Immigrant Female","F",0.0358,0.019047619047619,"B-40938-->B-41301","B-41301-->B-40938","B-40938_B-41301",0
"B-40938","B-41314","F","Immigrant Female","F",0.1637,0,"B-40938-->B-41314","B-41314-->B-40938","B-40938_B-41314",0
"B-40938","B-41350","F","Immigrant Female","F",0.1186,0.00441176470588235,"B-40938-->B-41350","B-41350-->B-40938","B-40938_B-41350",0.00625
"B-40938","B-41352","F","Immigrant Female","F",0.1863,0.0674242424242424,"B-40938-->B-41352","B-41352-->B-40938","B-40938_B-41352",0
"B-40938","BB-4202","F","Immigrant Female","F",0.0441,0,"B-40938-->BB-4202","BB-4202-->B-40938","B-40938_BB-4202",0
"B-40938","BB-6628","F","Immigrant Female","F",-0.0575,0.00833333333333333,"B-40938-->BB-6628","BB-6628-->B-40938","B-40938_BB-6628",0
"B-40938","BB-6659","F","Immigrant Female","F",0.0538,0,"B-40938-->BB-6659","BB-6659-->B-40938","B-40938_BB-6659",0
"B-40938","BB-6694","F","Immigrant Female","F",0.1198,0,"B-40938-->BB-6694","BB-6694-->B-40938","B-40938_BB-6694",NA
"B-40938","BB-6695","F","Immigrant Female","F",-0.2736,0,"B-40938-->BB-6695","BB-6695-->B-40938","B-40938_BB-6695",0
"B-40938","BB-9457","F","Immigrant Female","F",0.0213,0,"B-40938-->BB-9457","BB-9457-->B-40938","B-40938_BB-9457",NA
"B-40938","BB-9459","F","Immigrant Female","F",-0.0311,0,"B-40938-->BB-9459","BB-9459-->B-40938","B-40938_BB-9459",NA
"B-40939","B-40917","M","Other Male","F",0,0,"B-40939-->B-40917","B-40917-->B-40939","B-40917_B-40939",NA
"B-40939","B-41301","M","Other Male","F",0,0.00833333333333333,"B-40939-->B-41301","B-41301-->B-40939","B-40939_B-41301",0
"B-40939","B-41314","M","Other Male","F",0,0,"B-40939-->B-41314","B-41314-->B-40939","B-40939_B-41314",0.00208333333333333
"B-40939","B-41352","M","Other Male","F",0,0.0257575757575758,"B-40939-->B-41352","B-41352-->B-40939","B-40939_B-41352",0.00740740740740741
"B-40939","BB-0186","M","Other Male","F",0,0,"B-40939-->BB-0186","BB-0186-->B-40939","B-40939_BB-0186",NA
"B-40939","BB-4202","M","Other Male","F",0,0,"B-40939-->BB-4202","BB-4202-->B-40939","B-40939_BB-4202",0
"B-40939","BB-4205","M","Other Male","F",0,0,"B-40939-->BB-4205","BB-4205-->B-40939","B-40939_BB-4205",NA
"B-40939","BB-4258","M","Other Male","F",0,0.170833333333333,"B-40939-->BB-4258","BB-4258-->B-40939","B-40939_BB-4258",NA
"B-40940","B-40917","F","Other Female","F",0,0,"B-40940-->B-40917","B-40917-->B-40940","B-40917_B-40940",NA
"B-40940","B-40938","F","Other Female","F",0,0.020959595959596,"B-40940-->B-40938","B-40938-->B-40940","B-40938_B-40940",NA
"B-40940","B-41232","F","Other Female","F",0,0,"B-40940-->B-41232","B-41232-->B-40940","B-40940_B-41232",NA
"B-40940","B-41301","F","Other Female","F",0,0.00694444444444444,"B-40940-->B-41301","B-41301-->B-40940","B-40940_B-41301",NA
"B-40940","B-41314","F","Other Female","F",0,0,"B-40940-->B-41314","B-41314-->B-40940","B-40940_B-41314",NA
"B-40940","B-41350","F","Other Female","F",0,0.00294117647058824,"B-40940-->B-41350","B-41350-->B-40940","B-40940_B-41350",NA
"B-40940","B-41352","F","Other Female","F",0,0.00636363636363636,"B-40940-->B-41352","B-41352-->B-40940","B-40940_B-41352",NA
"B-40940","BB-11928","F","Other Female","F",0,0,"B-40940-->BB-11928","BB-11928-->B-40940","B-40940_BB-11928",NA
"B-40940","BB-11929","F","Other Female","F",0,0,"B-40940-->BB-11929","BB-11929-->B-40940","B-40940_BB-11929",NA
"B-40940","BB-11946","F","Other Female","F",0,0,"B-40940-->BB-11946","BB-11946-->B-40940","B-40940_BB-11946",NA
"B-40940","BB-11950","F","Other Female","F",0,0,"B-40940-->BB-11950","BB-11950-->B-40940","B-40940_BB-11950",NA
"B-40940","BB-11993","F","Other Female","F",0,0,"B-40940-->BB-11993","BB-11993-->B-40940","B-40940_BB-11993",NA
"B-40940","BB-17257","F","Other Female","F",0,0,"B-40940-->BB-17257","BB-17257-->B-40940","B-40940_BB-17257",NA
"B-40940","BB-4202","F","Other Female","F",0,0,"B-40940-->BB-4202","BB-4202-->B-40940","B-40940_BB-4202",NA
"B-40940","BB-6628","F","Other Female","F",0,0,"B-40940-->BB-6628","BB-6628-->B-40940","B-40940_BB-6628",NA
"B-40940","BB-6694","F","Other Female","F",0,0,"B-40940-->BB-6694","BB-6694-->B-40940","B-40940_BB-6694",NA
"B-40940","BB-6695","F","Other Female","F",0,0,"B-40940-->BB-6695","BB-6695-->B-40940","B-40940_BB-6695",NA
"B-40940","BB-9457","F","Other Female","F",0,0.00104166666666667,"B-40940-->BB-9457","BB-9457-->B-40940","B-40940_BB-9457",NA
"B-40940","BB-9459","F","Other Female","F",0,0,"B-40940-->BB-9459","BB-9459-->B-40940","B-40940_BB-9459",NA
"B-40943","B-41247","M","Resident Male","F",0,0.00763888888888889,"B-40943-->B-41247","B-41247-->B-40943","B-40943_B-41247",NA
"B-40943","BB-4269","M","Resident Male","F",0,0.0708333333333333,"B-40943-->BB-4269","BB-4269-->B-40943","B-40943_BB-4269",NA
"B-40943","BB-4276","M","Resident Male","F",0,0.00277777777777778,"B-40943-->BB-4276","BB-4276-->B-40943","B-40943_BB-4276",NA
"B-40943","BB-6743","M","Resident Male","F",0,0,"B-40943-->BB-6743","BB-6743-->B-40943","B-40943_BB-6743",NA
"B-40955","BB-0169","F","Immigrant Female","F",0.0611,0.00694444444444444,"B-40955-->BB-0169","BB-0169-->B-40955","B-40955_BB-0169",0.0505347593582888
"B-40955","BB-4336","F","Immigrant Female","F",0.2595,0,"B-40955-->BB-4336","BB-4336-->B-40955","B-40955_BB-4336",0
"B-40955","BB-4351","F","Immigrant Female","F",-0.0086,0,"B-40955-->BB-4351","BB-4351-->B-40955","B-40955_BB-4351",0
"B-40962","B-40938","F","Other Female","F",0,0,"B-40962-->B-40938","B-40938-->B-40962","B-40938_B-40962",NA
"B-40962","B-41301","F","Other Female","F",0.5,0.0185185185185185,"B-40962-->B-41301","B-41301-->B-40962","B-40962_B-41301",NA
"B-40962","B-41314","F","Other Female","F",0,0,"B-40962-->B-41314","B-41314-->B-40962","B-40962_B-41314",NA
"B-40962","B-41350","F","Other Female","F",0,0,"B-40962-->B-41350","B-41350-->B-40962","B-40962_B-41350",NA
"B-40962","B-41352","F","Other Female","F",0,0.00883838383838384,"B-40962-->B-41352","B-41352-->B-40962","B-40962_B-41352",NA
"B-40962","BB-4202","F","Other Female","F",0,0,"B-40962-->BB-4202","BB-4202-->B-40962","B-40962_BB-4202",NA
"B-40963","B-40917","F","Other Female","F",0,0,"B-40963-->B-40917","B-40917-->B-40963","B-40917_B-40963",NA
"B-40963","B-40938","F","Other Female","F",0,0.0141161616161616,"B-40963-->B-40938","B-40938-->B-40963","B-40938_B-40963",NA
"B-40963","B-41232","F","Other Female","F",0,0,"B-40963-->B-41232","B-41232-->B-40963","B-40963_B-41232",NA
"B-40963","B-41301","F","Other Female","F",0,0.0175925925925926,"B-40963-->B-41301","B-41301-->B-40963","B-40963_B-41301",NA
"B-40963","B-41314","F","Other Female","F",0,0,"B-40963-->B-41314","B-41314-->B-40963","B-40963_B-41314",NA
"B-40963","B-41350","F","Other Female","F",0,0.00791316526610644,"B-40963-->B-41350","B-41350-->B-40963","B-40963_B-41350",NA
"B-40963","B-41352","F","Other Female","F",0,0.00909090909090909,"B-40963-->B-41352","B-41352-->B-40963","B-40963_B-41352",NA
"B-40963","BB-17393","F","Other Female","F",0,0.025,"B-40963-->BB-17393","BB-17393-->B-40963","B-40963_BB-17393",NA
"B-40963","BB-4202","F","Other Female","F",0,0,"B-40963-->BB-4202","BB-4202-->B-40963","B-40963_BB-4202",NA
"B-40963","BB-6628","F","Other Female","F",0,0.00111111111111111,"B-40963-->BB-6628","BB-6628-->B-40963","B-40963_BB-6628",NA
"B-40963","BB-6694","F","Other Female","F",0,0,"B-40963-->BB-6694","BB-6694-->B-40963","B-40963_BB-6694",NA
"B-40963","BB-6695","F","Other Female","F",0,0,"B-40963-->BB-6695","BB-6695-->B-40963","B-40963_BB-6695",NA
"B-40963","BB-9457","F","Other Female","F",0,0,"B-40963-->BB-9457","BB-9457-->B-40963","B-40963_BB-9457",NA
"B-40963","BB-9459","F","Other Female","F",0,0,"B-40963-->BB-9459","BB-9459-->B-40963","B-40963_BB-9459",NA
"B-40964","B-40917","M","Resident Male","F",0,0,"B-40964-->B-40917","B-40917-->B-40964","B-40917_B-40964",NA
"B-40964","B-40938","M","Resident Male","F",0,0,"B-40964-->B-40938","B-40938-->B-40964","B-40938_B-40964",NA
"B-40964","B-41232","M","Resident Male","F",0,0,"B-40964-->B-41232","B-41232-->B-40964","B-40964_B-41232",NA
"B-40964","B-41301","M","Resident Male","F",0.5,0,"B-40964-->B-41301","B-41301-->B-40964","B-40964_B-41301",NA
"B-40964","B-41314","M","Resident Male","F",0,0,"B-40964-->B-41314","B-41314-->B-40964","B-40964_B-41314",NA
"B-40964","B-41350","M","Resident Male","F",0,0.00168067226890756,"B-40964-->B-41350","B-41350-->B-40964","B-40964_B-41350",NA
"B-40964","B-41352","M","Resident Male","F",0,0.00151515151515152,"B-40964-->B-41352","B-41352-->B-40964","B-40964_B-41352",NA
"B-40964","BB-4202","M","Resident Male","F",0,0,"B-40964-->BB-4202","BB-4202-->B-40964","B-40964_BB-4202",NA
"B-40964","BB-6628","M","Resident Male","F",0,0,"B-40964-->BB-6628","BB-6628-->B-40964","B-40964_BB-6628",NA
"B-40964","BB-6694","M","Resident Male","F",0,0,"B-40964-->BB-6694","BB-6694-->B-40964","B-40964_BB-6694",NA
"B-40964","BB-6695","M","Resident Male","F",0,0,"B-40964-->BB-6695","BB-6695-->B-40964","B-40964_BB-6695",NA
"B-40964","BB-9457","M","Resident Male","F",0,0.00138888888888889,"B-40964-->BB-9457","BB-9457-->B-40964","B-40964_BB-9457",NA
"B-40964","BB-9459","M","Resident Male","F",0,0,"B-40964-->BB-9459","BB-9459-->B-40964","B-40964_BB-9459",NA
"B-40965","B-40917","M","Resident Male","F",0,0,"B-40965-->B-40917","B-40917-->B-40965","B-40917_B-40965",NA
"B-40965","B-40938","M","Resident Male","F",0,0,"B-40965-->B-40938","B-40938-->B-40965","B-40938_B-40965",NA
"B-40965","B-41232","M","Resident Male","F",0,0,"B-40965-->B-41232","B-41232-->B-40965","B-40965_B-41232",NA
"B-40965","B-41301","M","Resident Male","F",0.5,0,"B-40965-->B-41301","B-41301-->B-40965","B-40965_B-41301",NA
"B-40965","B-41314","M","Resident Male","F",0,0,"B-40965-->B-41314","B-41314-->B-40965","B-40965_B-41314",NA
"B-40965","B-41350","M","Resident Male","F",0,0,"B-40965-->B-41350","B-41350-->B-40965","B-40965_B-41350",NA
"B-40965","B-41352","M","Resident Male","F",0,0,"B-40965-->B-41352","B-41352-->B-40965","B-40965_B-41352",NA
"B-40965","BB-11928","M","Resident Male","F",0,0,"B-40965-->BB-11928","BB-11928-->B-40965","B-40965_BB-11928",NA
"B-40965","BB-11946","M","Resident Male","F",0,0,"B-40965-->BB-11946","BB-11946-->B-40965","B-40965_BB-11946",NA
"B-40965","BB-11950","M","Resident Male","F",0,0,"B-40965-->BB-11950","BB-11950-->B-40965","B-40965_BB-11950",NA
"B-40965","BB-4202","M","Resident Male","F",0,0,"B-40965-->BB-4202","BB-4202-->B-40965","B-40965_BB-4202",NA
"B-40965","BB-6628","M","Resident Male","F",0,0,"B-40965-->BB-6628","BB-6628-->B-40965","B-40965_BB-6628",NA
"B-40965","BB-6694","M","Resident Male","F",0,0,"B-40965-->BB-6694","BB-6694-->B-40965","B-40965_BB-6694",NA
"B-40965","BB-6695","M","Resident Male","F",0,0,"B-40965-->BB-6695","BB-6695-->B-40965","B-40965_BB-6695",NA
"B-40965","BB-9457","M","Resident Male","F",0,0,"B-40965-->BB-9457","BB-9457-->B-40965","B-40965_BB-9457",NA
"B-40965","BB-9459","M","Resident Male","F",0,0,"B-40965-->BB-9459","BB-9459-->B-40965","B-40965_BB-9459",NA
"B-40966","B-40917","M","Resident Male","F",0,0,"B-40966-->B-40917","B-40917-->B-40966","B-40917_B-40966",NA
"B-40966","B-40938","M","Resident Male","F",0,0,"B-40966-->B-40938","B-40938-->B-40966","B-40938_B-40966",NA
"B-40966","B-41232","M","Resident Male","F",0,0,"B-40966-->B-41232","B-41232-->B-40966","B-40966_B-41232",NA
"B-40966","B-41301","M","Resident Male","F",0.5,0,"B-40966-->B-41301","B-41301-->B-40966","B-40966_B-41301",NA
"B-40966","B-41314","M","Resident Male","F",0,0,"B-40966-->B-41314","B-41314-->B-40966","B-40966_B-41314",NA
"B-40966","B-41350","M","Resident Male","F",0,0,"B-40966-->B-41350","B-41350-->B-40966","B-40966_B-41350",NA
"B-40966","B-41352","M","Resident Male","F",0,0,"B-40966-->B-41352","B-41352-->B-40966","B-40966_B-41352",NA
"B-40966","BB-4202","M","Resident Male","F",0,0,"B-40966-->BB-4202","BB-4202-->B-40966","B-40966_BB-4202",NA
"B-40966","BB-6694","M","Resident Male","F",0,0,"B-40966-->BB-6694","BB-6694-->B-40966","B-40966_BB-6694",NA
"B-40966","BB-6695","M","Resident Male","F",0,0,"B-40966-->BB-6695","BB-6695-->B-40966","B-40966_BB-6695",NA
"B-40967","B-41240","F","Resident Female","F",0,0,"B-40967-->B-41240","B-41240-->B-40967","B-40967_B-41240",NA
"B-40967","B-41263","F","Resident Female","F",0,0,"B-40967-->B-41263","B-41263-->B-40967","B-40967_B-41263",NA
"B-40967","B-41268","F","Resident Female","F",0,0,"B-40967-->B-41268","B-41268-->B-40967","B-40967_B-41268",NA
"B-40967","B-41362","F","Resident Female","F",0,0,"B-40967-->B-41362","B-41362-->B-40967","B-40967_B-41362",NA
"B-40967","B-41374","F","Resident Female","F",0,0,"B-40967-->B-41374","B-41374-->B-40967","B-40967_B-41374",NA
"B-40967","BB-4224","F","Resident Female","F",0,0,"B-40967-->BB-4224","BB-4224-->B-40967","B-40967_BB-4224",NA
"B-40967","BB-6681","F","Resident Female","F",0,0,"B-40967-->BB-6681","BB-6681-->B-40967","B-40967_BB-6681",NA
"B-40968","B-41250","F","Resident Female","F",0,0,"B-40968-->B-41250","B-41250-->B-40968","B-40968_B-41250",NA
"B-40968","B-41251","F","Resident Female","F",0,0,"B-40968-->B-41251","B-41251-->B-40968","B-40968_B-41251",NA
"B-40968","B-41267","F","Resident Female","F",0,0.0305555555555556,"B-40968-->B-41267","B-41267-->B-40968","B-40968_B-41267",NA
"B-40968","BB-4277","F","Resident Female","F",0.5,0.0763888888888889,"B-40968-->BB-4277","BB-4277-->B-40968","B-40968_BB-4277",NA
"B-40969","B-41250","M","Resident Male","F",0,0,"B-40969-->B-41250","B-41250-->B-40969","B-40969_B-41250",NA
"B-40969","B-41251","M","Resident Male","F",0,0,"B-40969-->B-41251","B-41251-->B-40969","B-40969_B-41251",NA
"B-40969","B-41267","M","Resident Male","F",0,0.0232638888888889,"B-40969-->B-41267","B-41267-->B-40969","B-40969_B-41267",NA
"B-40969","BB-4239","M","Resident Male","F",0,0.358333333333333,"B-40969-->BB-4239","BB-4239-->B-40969","B-40969_BB-4239",NA
"B-40969","BB-4277","M","Resident Male","F",0.5,0.160763888888889,"B-40969-->BB-4277","BB-4277-->B-40969","B-40969_BB-4277",NA
"B-40970","B-40917","M","Resident Male","F",0,0,"B-40970-->B-40917","B-40917-->B-40970","B-40917_B-40970",NA
"B-40970","BB-0186","M","Resident Male","F",0,0,"B-40970-->BB-0186","BB-0186-->B-40970","B-40970_BB-0186",NA
"B-40970","BB-4202","M","Resident Male","F",0,0,"B-40970-->BB-4202","BB-4202-->B-40970","B-40970_BB-4202",NA
"B-40970","BB-4205","M","Resident Male","F",0,0,"B-40970-->BB-4205","BB-4205-->B-40970","B-40970_BB-4205",NA
"B-40970","BB-4258","M","Resident Male","F",0,0,"B-40970-->BB-4258","BB-4258-->B-40970","B-40970_BB-4258",NA
"B-40971","B-40917","M","Resident Male","F",0,0.0234567901234568,"B-40971-->B-40917","B-40917-->B-40971","B-40917_B-40971",NA
"B-40971","B-40918","M","Resident Male","F",0,0.141666666666667,"B-40971-->B-40918","B-40918-->B-40971","B-40918_B-40971",NA
"B-40971","B-41246","M","Resident Male","F",0,0.0918350168350168,"B-40971-->B-41246","B-41246-->B-40971","B-40971_B-41246",NA
"B-40971","B-41360","M","Resident Male","F",0,0.0616666666666667,"B-40971-->B-41360","B-41360-->B-40971","B-40971_B-41360",NA
"B-40971","BB-0186","M","Resident Male","F",0,0,"B-40971-->BB-0186","BB-0186-->B-40971","B-40971_BB-0186",NA
"B-40971","BB-4202","M","Resident Male","F",0.5,0.0388888888888889,"B-40971-->BB-4202","BB-4202-->B-40971","B-40971_BB-4202",NA
"B-40971","BB-4205","M","Resident Male","F",0,0,"B-40971-->BB-4205","BB-4205-->B-40971","B-40971_BB-4205",NA
"B-40971","BB-4258","M","Resident Male","F",0,0,"B-40971-->BB-4258","BB-4258-->B-40971","B-40971_BB-4258",NA
"B-40972","B-40917","M","Resident Male","F",0,0.0209876543209877,"B-40972-->B-40917","B-40917-->B-40972","B-40917_B-40972",NA
"B-40972","B-40918","M","Resident Male","F",0,0.025,"B-40972-->B-40918","B-40918-->B-40972","B-40918_B-40972",NA
"B-40972","B-41246","M","Resident Male","F",0,0.0287037037037037,"B-40972-->B-41246","B-41246-->B-40972","B-40972_B-41246",NA
"B-40972","B-41360","M","Resident Male","F",0,0.02,"B-40972-->B-41360","B-41360-->B-40972","B-40972_B-41360",NA
"B-40972","BB-0186","M","Resident Male","F",0,0,"B-40972-->BB-0186","BB-0186-->B-40972","B-40972_BB-0186",NA
"B-40972","BB-4202","M","Resident Male","F",0,0.00972222222222222,"B-40972-->BB-4202","BB-4202-->B-40972","B-40972_BB-4202",NA
"B-40972","BB-4205","M","Resident Male","F",0,0.00555555555555555,"B-40972-->BB-4205","BB-4205-->B-40972","B-40972_BB-4205",NA
"B-40972","BB-4258","M","Resident Male","F",0,0,"B-40972-->BB-4258","BB-4258-->B-40972","B-40972_BB-4258",NA
"B-40973","B-40917","M","Resident Male","F",0,0,"B-40973-->B-40917","B-40917-->B-40973","B-40917_B-40973",NA
"B-40973","B-40918","M","Resident Male","F",0,0,"B-40973-->B-40918","B-40918-->B-40973","B-40918_B-40973",NA
"B-40973","B-41246","M","Resident Male","F",0,0.0171717171717172,"B-40973-->B-41246","B-41246-->B-40973","B-40973_B-41246",NA
"B-40973","B-41360","M","Resident Male","F",0,0.0333333333333333,"B-40973-->B-41360","B-41360-->B-40973","B-40973_B-41360",NA
"B-40973","BB-0186","M","Resident Male","F",0,0,"B-40973-->BB-0186","BB-0186-->B-40973","B-40973_BB-0186",NA
"B-40973","BB-4202","M","Resident Male","F",0.5,0.03125,"B-40973-->BB-4202","BB-4202-->B-40973","B-40973_BB-4202",NA
"B-40973","BB-4205","M","Resident Male","F",0,0.0231481481481481,"B-40973-->BB-4205","BB-4205-->B-40973","B-40973_BB-4205",NA
"B-40973","BB-4258","M","Resident Male","F",0,0,"B-40973-->BB-4258","BB-4258-->B-40973","B-40973_BB-4258",NA
"B-41201","BB-0169","F","Resident Female","F",0,0.0777777777777778,"B-41201-->BB-0169","BB-0169-->B-41201","B-41201_BB-0169",NA
"B-41201","BB-4336","F","Resident Female","F",0,0.0564814814814815,"B-41201-->BB-4336","BB-4336-->B-41201","B-41201_BB-4336",NA
"B-41201","BB-4351","F","Resident Female","F",0.5,0.166666666666667,"B-41201-->BB-4351","BB-4351-->B-41201","B-41201_BB-4351",NA
"B-41202","B-40955","M","Resident Male","F",0,0.0178571428571429,"B-41202-->B-40955","B-40955-->B-41202","B-40955_B-41202",NA
"B-41202","BB-0169","M","Resident Male","F",0,0.0659259259259259,"B-41202-->BB-0169","BB-0169-->B-41202","B-41202_BB-0169",NA
"B-41202","BB-4336","M","Resident Male","F",0,0.0574074074074074,"B-41202-->BB-4336","BB-4336-->B-41202","B-41202_BB-4336",NA
"B-41202","BB-4351","M","Resident Male","F",0.5,0.0166666666666667,"B-41202-->BB-4351","BB-4351-->B-41202","B-41202_BB-4351",NA
"B-41203","B-40955","M","Resident Male","F",0,0,"B-41203-->B-40955","B-40955-->B-41203","B-40955_B-41203",NA
"B-41203","BB-0169","M","Resident Male","F",0,0.0194444444444444,"B-41203-->BB-0169","BB-0169-->B-41203","B-41203_BB-0169",0.0724941724941725
"B-41203","BB-4336","M","Resident Male","F",0,0.0240740740740741,"B-41203-->BB-4336","BB-4336-->B-41203","B-41203_BB-4336",0.00277777777777778
"B-41203","BB-4351","M","Resident Male","F",0.5,0.133333333333333,"B-41203-->BB-4351","BB-4351-->B-41203","B-41203_BB-4351",0
"B-41203","BB-9364","M","Resident Male","F",0,0.00833333333333333,"B-41203-->BB-9364","BB-9364-->B-41203","B-41203_BB-9364",0
"B-41205","B-41239","M","Resident Male","F",0,0,"B-41205-->B-41239","B-41239-->B-41205","B-41205_B-41239",0
"B-41205","B-41240","M","Resident Male","F",0,0,"B-41205-->B-41240","B-41240-->B-41205","B-41205_B-41240",NA
"B-41205","BB-4256","M","Resident Male","F",0,0.0239583333333333,"B-41205-->BB-4256","BB-4256-->B-41205","B-41205_BB-4256",0.0125
"B-41205","BB-4258","M","Resident Male","F",0,0,"B-41205-->BB-4258","BB-4258-->B-41205","B-41205_BB-4258",0
"B-41205","BB-9320","M","Resident Male","F",0,0,"B-41205-->BB-9320","BB-9320-->B-41205","B-41205_BB-9320",NA
"B-41205","BB-9353","M","Resident Male","F",0,0.00833333333333333,"B-41205-->BB-9353","BB-9353-->B-41205","B-41205_BB-9353",NA
"B-41205","BB-9355","M","Resident Male","F",0,0.0305555555555556,"B-41205-->BB-9355","BB-9355-->B-41205","B-41205_BB-9355",NA
"B-41207","B-41239","F","Resident Female","F",0,0,"B-41207-->B-41239","B-41239-->B-41207","B-41207_B-41239",NA
"B-41207","B-41240","F","Resident Female","F",0,0,"B-41207-->B-41240","B-41240-->B-41207","B-41207_B-41240",NA
"B-41207","B-41263","F","Resident Female","F",0,0,"B-41207-->B-41263","B-41263-->B-41207","B-41207_B-41263",NA
"B-41207","B-41268","F","Resident Female","F",0,0.15,"B-41207-->B-41268","B-41268-->B-41207","B-41207_B-41268",NA
"B-41207","B-41374","F","Resident Female","F",0,0,"B-41207-->B-41374","B-41374-->B-41207","B-41207_B-41374",NA
"B-41207","BB-11932","F","Resident Female","F",0,0,"B-41207-->BB-11932","BB-11932-->B-41207","B-41207_BB-11932",NA
"B-41207","BB-4256","F","Resident Female","F",0,0,"B-41207-->BB-4256","BB-4256-->B-41207","B-41207_BB-4256",NA
"B-41207","BB-4258","F","Resident Female","F",0,0,"B-41207-->BB-4258","BB-4258-->B-41207","B-41207_BB-4258",NA
"B-41207","BB-4365","F","Resident Female","F",0,0,"B-41207-->BB-4365","BB-4365-->B-41207","B-41207_BB-4365",NA
"B-41207","BB-7535","F","Resident Female","F",0,0,"B-41207-->BB-7535","BB-7535-->B-41207","B-41207_BB-7535",NA
"B-41207","BB-7536","F","Resident Female","F",0,0,"B-41207-->BB-7536","BB-7536-->B-41207","B-41207_BB-7536",NA
"B-41207","BB-9320","F","Resident Female","F",0,0,"B-41207-->BB-9320","BB-9320-->B-41207","B-41207_BB-9320",NA
